# k_step gamma S_color
1000 2.921873e-04 1.922119e-01
100 3.696688e-03 1.324547e-01
65 5.955205e-03 1.123418e-01
50 7.967823e-03 9.261078e-02
40 1.021266e-02 7.576183e-02
30 1.407895e-02 2.956514e-02
26 1.652586e-02 -1.115594e-13
23 1.896440e-02 1.290342e-15
20 2.219599e-02 -1.369697e-15
18 2.500024e-02 -4.076305e-16
17 2.667084e-02 -4.315232e-16
16 2.856826e-02 4.423337e-16
15 3.074108e-02 -4.734909e-16
1000 2.921873e-04 1.840978e-01
100 3.696688e-03 1.247587e-01
65 5.955205e-03 1.153125e-01
50 7.967823e-03 9.173500e-02
40 1.021266e-02 7.405958e-02
30 1.407895e-02 3.065355e-02
26 1.652586e-02 -1.140347e-13
23 1.896440e-02 1.289200e-15
20 2.219599e-02 -1.331586e-15
18 2.500024e-02 -4.186838e-16
17 2.667084e-02 -4.119575e-16
16 2.856826e-02 4.637123e-16
15 3.074108e-02 -4.635385e-16
1000 2.921873e-04 1.895224e-01
100 3.696688e-03 1.257744e-01
65 5.955205e-03 1.115303e-01
50 7.967823e-03 9.369567e-02
40 1.021266e-02 7.344586e-02
30 1.407895e-02 3.104493e-02
26 1.652586e-02 -1.190940e-13
23 1.896440e-02 1.289802e-15
20 2.219599e-02 -1.349710e-15
18 2.500024e-02 -4.379144e-16
17 2.667084e-02 -4.108808e-16
16 2.856826e-02 4.560850e-16
15 3.074108e-02 -4.524966e-16
1000 2.921873e-04 1.786709e-01
100 3.696688e-03 1.263989e-01
65 5.955205e-03 1.040689e-01
50 7.967823e-03 9.156728e-02
40 1.021266e-02 7.634571e-02
30 1.407895e-02 3.060553e-02
26 1.652586e-02 -1.153721e-13
23 1.896440e-02 1.350787e-15
20 2.219599e-02 -1.311017e-15
18 2.500024e-02 -4.009004e-16
17 2.667084e-02 -3.914194e-16
16 2.856826e-02 4.418432e-16
15 3.074108e-02 -4.755016e-16
1000 2.921873e-04 1.684190e-01
100 3.696688e-03 1.287400e-01
65 5.955205e-03 1.137767e-01
50 7.967823e-03 9.244842e-02
40 1.021266e-02 7.462077e-02
30 1.407895e-02 3.092084e-02
26 1.652586e-02 -1.167393e-13
23 1.896440e-02 1.346563e-15
20 2.219599e-02 -1.388286e-15
18 2.500024e-02 -4.062054e-16
17 2.667084e-02 -4.222961e-16
16 2.856826e-02 4.623066e-16
15 3.074108e-02 -4.857744e-16
1000 2.921873e-04 1.703931e-01
100 3.696688e-03 1.343438e-01
65 5.955205e-03 1.113187e-01
50 7.967823e-03 8.967203e-02
40 1.021266e-02 7.439112e-02
30 1.407895e-02 2.970518e-02
26 1.652586e-02 -1.177012e-13
23 1.896440e-02 1.310681e-15
20 2.219599e-02 -1.321573e-15
18 2.500024e-02 -4.254285e-16
17 2.667084e-02 -4.176961e-16
16 2.856826e-02 4.242751e-16
15 3.074108e-02 -4.633840e-16
1000 2.921873e-04 1.830460e-01
100 3.696688e-03 1.260279e-01
65 5.955205e-03 1.161083e-01
50 7.967823e-03 9.413019e-02
40 1.021266e-02 7.557368e-02
30 1.407895e-02 3.015541e-02
26 1.652586e-02 -1.155575e-13
23 1.896440e-02 1.277703e-15
20 2.219599e-02 -1.398370e-15
18 2.500024e-02 -4.189236e-16
17 2.667084e-02 -4.307510e-16
16 2.856826e-02 4.509656e-16
15 3.074108e-02 -4.403081e-16
1000 2.921873e-04 1.871647e-01
100 3.696688e-03 1.242258e-01
65 5.955205e-03 1.174987e-01
50 7.967823e-03 9.185123e-02
40 1.021266e-02 7.691123e-02
30 1.407895e-02 2.972773e-02
