# k_step gamma S_color
1000 6.765023e-05 1.130664e-01
100 1.357724e-03 1.098558e-01
65 2.385318e-03 9.347450e-02
50 3.364946e-03 7.908018e-02
40 4.512072e-03 8.468167e-02
30 6.594110e-03 6.406705e-02
26 7.968958e-03 5.529658e-02
23 9.376545e-03 3.701769e-02
20 1.129275e-02 1.109465e-02
18 1.299754e-02 -4.310478e-14
17 1.403005e-02 1.505888e-15
16 1.521706e-02 -5.751988e-16
15 1.659402e-02 -2.389701e-16
1000 6.765023e-05 1.255609e-01
100 1.357724e-03 1.049983e-01
65 2.385318e-03 9.855557e-02
50 3.364946e-03 9.496708e-02
40 4.512072e-03 8.421267e-02
30 6.594110e-03 6.542417e-02
26 7.968958e-03 5.524175e-02
23 9.376545e-03 3.588508e-02
20 1.129275e-02 1.147900e-02
18 1.299754e-02 -4.326348e-14
17 1.403005e-02 1.560285e-15
16 1.521706e-02 -5.717629e-16
15 1.659402e-02 -2.527579e-16
1000 6.765023e-05 1.161682e-01
100 1.357724e-03 9.967437e-02
65 2.385318e-03 9.893190e-02
50 3.364946e-03 9.255607e-02
40 4.512072e-03 8.523651e-02
30 6.594110e-03 6.483992e-02
26 7.968958e-03 5.339391e-02
23 9.376545e-03 3.732469e-02
20 1.129275e-02 1.140395e-02
18 1.299754e-02 -3.974082e-14
17 1.403005e-02 1.583792e-15
16 1.521706e-02 -5.725795e-16
15 1.659402e-02 -2.525637e-16
1000 6.765023e-05 1.209009e-01
100 1.357724e-03 1.108421e-01
65 2.385318e-03 9.800327e-02
50 3.364946e-03 8.770087e-02
40 4.512072e-03 8.435064e-02
30 6.594110e-03 6.869000e-02
26 7.968958e-03 5.337978e-02
23 9.376545e-03 3.724055e-02
20 1.129275e-02 1.171435e-02
18 1.299754e-02 -4.093308e-14
17 1.403005e-02 1.527891e-15
16 1.521706e-02 -5.629167e-16
15 1.659402e-02 -2.559781e-16
1000 6.765023e-05 1.143883e-01
100 1.357724e-03 1.054575e-01
65 2.385318e-03 1.030448e-01
50 3.364946e-03 8.724126e-02
40 4.512072e-03 7.846883e-02
30 6.594110e-03 6.459818e-02
26 7.968958e-03 5.206805e-02
23 9.376545e-03 3.561004e-02
20 1.129275e-02 1.121038e-02
18 1.299754e-02 -4.158424e-14
17 1.403005e-02 1.508939e-15
16 1.521706e-02 -5.647805e-16
15 1.659402e-02 -2.567829e-16
1000 6.765023e-05 1.265690e-01
100 1.357724e-03 1.084161e-01
65 2.385318e-03 9.586133e-02
50 3.364946e-03 8.963793e-02
40 4.512072e-03 8.291690e-02
30 6.594110e-03 6.508892e-02
26 7.968958e-03 5.485787e-02
23 9.376545e-03 3.889988e-02
20 1.129275e-02 1.117478e-02
18 1.299754e-02 -4.120011e-14
17 1.403005e-02 1.549496e-15
16 1.521706e-02 -5.749270e-16
15 1.659402e-02 -2.481298e-16
1000 6.765023e-05 1.222320e-01
100 1.357724e-03 1.010342e-01
65 2.385318e-03 1.010569e-01
50 3.364946e-03 9.356147e-02
40 4.512072e-03 8.088912e-02
30 6.594110e-03 6.520938e-02
26 7.968958e-03 5.610831e-02
23 9.376545e-03 3.974426e-02
20 1.129275e-02 1.074973e-02
18 1.299754e-02 -4.282100e-14
17 1.403005e-02 1.545611e-15
16 1.521706e-02 -5.535836e-16
15 1.659402e-02 -2.614140e-16
1000 6.765023e-05 1.233962e-01
100 1.357724e-03 1.037024e-01
65 2.385318e-03 9.863664e-02
50 3.364946e-03 8.961013e-02
40 4.512072e-03 8.008889e-02
30 6.594110e-03 6.652807e-02
26 7.968958e-03 5.435533e-02
23 9.376545e-03 3.688617e-02
20 1.129275e-02 1.178189e-02
18 1.299754e-02 -4.172603e-14
17 1.403005e-02 1.524869e-15
