# k_step gamma S_color
1000 1.900715e-04 2.946243e-01
100 3.829155e-03 2.215323e-01
65 6.087879e-03 1.941086e-01
50 8.053794e-03 1.699258e-01
40 1.020970e-02 1.451102e-01
30 1.385579e-02 1.025706e-01
26 1.612937e-02 7.446455e-02
23 1.837402e-02 4.387681e-02
20 2.132095e-02 -1.143518e-13
18 2.385607e-02 -2.274098e-15
17 2.535768e-02 8.009193e-16
16 2.705598e-02 -2.530987e-15
15 2.899206e-02 -2.034731e-15
1000 1.900715e-04 2.839485e-01
100 3.829155e-03 2.101351e-01
65 6.087879e-03 1.987233e-01
50 8.053794e-03 1.675891e-01
40 1.020970e-02 1.461114e-01
30 1.385579e-02 1.124698e-01
26 1.612937e-02 8.131110e-02
23 1.837402e-02 4.087494e-02
20 2.132095e-02 -1.160357e-13
18 2.385607e-02 -2.026950e-15
17 2.535768e-02 8.075621e-16
16 2.705598e-02 -2.507153e-15
15 2.899206e-02 -1.904507e-15
1000 1.900715e-04 2.835127e-01
100 3.829155e-03 2.241587e-01
65 6.087879e-03 1.973247e-01
50 8.053794e-03 1.674182e-01
40 1.020970e-02 1.606503e-01
30 1.385579e-02 1.099483e-01
26 1.612937e-02 8.103462e-02
23 1.837402e-02 4.035986e-02
20 2.132095e-02 -1.124470e-13
18 2.385607e-02 -2.126205e-15
17 2.535768e-02 7.702068e-16
16 2.705598e-02 -2.625823e-15
15 2.899206e-02 -2.031180e-15
1000 1.900715e-04 2.749859e-01
100 3.829155e-03 2.119398e-01
65 6.087879e-03 1.878010e-01
50 8.053794e-03 1.800853e-01
40 1.020970e-02 1.585337e-01
30 1.385579e-02 1.150735e-01
26 1.612937e-02 8.207400e-02
23 1.837402e-02 4.375433e-02
20 2.132095e-02 -1.170378e-13
18 2.385607e-02 -2.029894e-15
17 2.535768e-02 8.200973e-16
16 2.705598e-02 -2.469254e-15
15 2.899206e-02 -2.164690e-15
1000 1.900715e-04 2.718329e-01
100 3.829155e-03 2.283357e-01
65 6.087879e-03 1.997804e-01
50 8.053794e-03 1.771702e-01
40 1.020970e-02 1.557176e-01
30 1.385579e-02 1.078528e-01
26 1.612937e-02 8.275855e-02
