# k_step gamma S_color
1000 3.675863e-04 3.029708e-01
100 3.992221e-03 1.824981e-01
65 6.241976e-03 1.474257e-01
50 8.200086e-03 1.133424e-01
40 1.034743e-02 9.374933e-02
30 1.397904e-02 2.931905e-02
26 1.624360e-02 -3.980933e-14
23 1.847933e-02 -1.051485e-15
20 2.141456e-02 0.000000e+00
18 2.393962e-02 2.553489e-16
17 2.543527e-02 5.808591e-16
16 2.712682e-02 -4.969413e-16
15 2.905522e-02 -6.155431e-16
1000 3.675863e-04 2.862834e-01
100 3.992221e-03 1.821623e-01
65 6.241976e-03 1.484055e-01
50 8.200086e-03 1.250808e-01
40 1.034743e-02 8.982943e-02
30 1.397904e-02 2.822960e-02
26 1.624360e-02 -4.152818e-14
23 1.847933e-02 -1.036050e-15
20 2.141456e-02 0.000000e+00
18 2.393962e-02 2.572582e-16
17 2.543527e-02 5.811256e-16
16 2.712682e-02 -5.138563e-16
15 2.905522e-02 -5.673928e-16
1000 3.675863e-04 2.494380e-01
100 3.992221e-03 2.016524e-01
65 6.241976e-03 1.556396e-01
50 8.200086e-03 1.096308e-01
40 1.034743e-02 8.982065e-02
30 1.397904e-02 2.841179e-02
26 1.624360e-02 -4.036413e-14
23 1.847933e-02 -1.075612e-15
20 2.141456e-02 0.000000e+00
18 2.393962e-02 2.441606e-16
17 2.543527e-02 5.373069e-16
16 2.712682e-02 -5.109572e-16
15 2.905522e-02 -5.626549e-16
1000 3.675863e-04 2.677867e-01
100 3.992221e-03 1.813756e-01
65 6.241976e-03 1.518291e-01
50 8.200086e-03 1.121641e-01
40 1.034743e-02 9.544898e-02
30 1.397904e-02 2.594102e-02
26 1.624360e-02 -4.599685e-14
23 1.847933e-02 -1.077196e-15
20 2.141456e-02 0.000000e+00
18 2.393962e-02 2.682814e-16
17 2.543527e-02 5.362653e-16
16 2.712682e-02 -4.896611e-16
15 2.905522e-02 -5.974398e-16
1000 3.675863e-04 2.776961e-01
100 3.992221e-03 1.807151e-01
65 6.241976e-03 1.432271e-01
50 8.200086e-03 1.211173e-01
40 1.034743e-02 9.748313e-02
30 1.397904e-02 2.962230e-02
26 1.624360e-02 -4.203222e-14
23 1.847933e-02 -1.079505e-15
20 2.141456e-02 0.000000e+00
18 2.393962e-02 2.471562e-16
17 2.543527e-02 5.468923e-16
16 2.712682e-02 -4.809657e-16
15 2.905522e-02 -5.878043e-16
1000 3.675863e-04 2.575786e-01
100 3.992221e-03 1.768465e-01
65 6.241976e-03 1.458490e-01
50 8.200086e-03 1.171855e-01
40 1.034743e-02 1.004469e-01
30 1.397904e-02 2.745284e-02
26 1.624360e-02 -4.264284e-14
23 1.847933e-02 -1.053233e-15
20 2.141456e-02 0.000000e+00
18 2.393962e-02 2.616175e-16
17 2.543527e-02 5.591335e-16
16 2.712682e-02 -5.109084e-16
15 2.905522e-02 -5.744460e-16
1000 3.675863e-04 2.559336e-01
100 3.992221e-03 1.713644e-01
65 6.241976e-03 1.505528e-01
50 8.200086e-03 1.196060e-01
40 1.034743e-02 9.540184e-02
30 1.397904e-02 2.697149e-02
26 1.624360e-02 -4.125497e-14
23 1.847933e-02 -1.074392e-15
20 2.141456e-02 0.000000e+00
18 2.393962e-02 2.558369e-16
17 2.543527e-02 5.596773e-16
16 2.712682e-02 -4.770024e-16
15 2.905522e-02 -5.898205e-16
1000 3.675863e-04 2.389203e-01
100 3.992221e-03 1.726122e-01
65 6.241976e-03 1.380982e-01
50 8.200086e-03 1.212068e-01
40 1.034743e-02 8.904965e-02
30 1.397904e-02 2.874549e-02
26 1.624360e-02 -4.110591e-14
23 1.847933e-02 -1.116156e-15
20 2.141456e-02 0.000000e+00
18 2.393962e-02 2.604118e-16
17 2.543527e-02 5.351842e-16
16 2.712682e-02 -5.070919e-16
15 2.905522e-02 -5.806440e-16
1000 3.675863e-04 2.696551e-01
100 3.992221e-03 1.684142e-01
65 6.241976e-03 1.584262e-01
50 8.200086e-03 1.237431e-01
40 1.034743e-02 9.377235e-02
30 1.397904e-02 2.782104e-02
26 1.624360e-02 -3.930725e-14
23 1.847933e-02 -1.027698e-15
20 2.141456e-02 0.000000e+00
18 2.393962e-02 2.462624e-16
17 2.543527e-02 5.649156e-16
16 2.712682e-02 -4.821409e-16
15 2.905522e-02 -5.882701e-16
1000 3.675863e-04 2.447279e-01
100 3.992221e-03 1.747647e-01
65 6.241976e-03 1.431786e-01
50 8.200086e-03 1.225039e-01
40 1.034743e-02 9.230947e-02
30 1.397904e-02 2.913633e-02
26 1.624360e-02 -4.057967e-14
23 1.847933e-02 -1.029982e-15
20 2.141456e-02 0.000000e+00
18 2.393962e-02 2.629876e-16
17 2.543527e-02 5.293225e-16
