# k_step gamma S_color
1000 2.612899e-04 3.079274e-01
100 3.353220e-03 2.180957e-01
65 5.704830e-03 1.955270e-01
50 7.011279e-03 1.643478e-01
40 9.188695e-03 1.415171e-01
30 1.289030e-02 1.057652e-01
26 1.515481e-02 8.498058e-02
23 1.815965e-02 3.040492e-02
20 2.085964e-02 8.399989e-14
18 2.325480e-02 1.346697e-15
17 2.473544e-02 -3.308604e-15
16 2.652092e-02 2.546362e-15
15 2.839350e-02 1.620392e-15
1000 2.612899e-04 2.772434e-01
100 3.353220e-03 2.120786e-01
65 5.704830e-03 1.865605e-01
50 7.011279e-03 1.867908e-01
40 9.188695e-03 1.560282e-01
30 1.289030e-02 1.116667e-01
26 1.515481e-02 7.678185e-02
23 1.815965e-02 3.260447e-02
20 2.085964e-02 9.142642e-14
18 2.325480e-02 1.299602e-15
17 2.473544e-02 -2.883004e-15
16 2.652092e-02 2.409200e-15
15 2.839350e-02 1.498577e-15
1000 2.612899e-04 2.700175e-01
100 3.353220e-03 2.138280e-01
65 5.704830e-03 1.967934e-01
50 7.011279e-03 1.800057e-01
40 9.188695e-03 1.530777e-01
30 1.289030e-02 1.058146e-01
26 1.515481e-02 8.423563e-02
23 1.815965e-02 3.226698e-02
20 2.085964e-02 8.798266e-14
18 2.325480e-02 1.274444e-15
17 2.473544e-02 -3.006848e-15
16 2.652092e-02 2.238468e-15
15 2.839350e-02 1.600663e-15
1000 2.612899e-04 2.736815e-01
100 3.353220e-03 2.288681e-01
65 5.704830e-03 1.876516e-01
50 7.011279e-03 1.718669e-01
40 9.188695e-03 1.451475e-01
30 1.289030e-02 1.119587e-01
26 1.515481e-02 8.582927e-02
23 1.815965e-02 3.282463e-02
20 2.085964e-02 9.166677e-14
18 2.325480e-02 1.258181e-15
17 2.473544e-02 -3.178971e-15
16 2.652092e-02 2.211373e-15
15 2.839350e-02 1.587786e-15
1000 2.612899e-04 2.914422e-01
100 3.353220e-03 2.204926e-01
65 5.704830e-03 1.936129e-01
50 7.011279e-03 1.676923e-01
40 9.188695e-03 1.499377e-01
30 1.289030e-02 1.176690e-01
26 1.515481e-02 7.783381e-02
23 1.815965e-02 3.179763e-02
20 2.085964e-02 9.125817e-14
18 2.325480e-02 1.301829e-15
17 2.473544e-02 -3.089643e-15
16 2.652092e-02 2.339565e-15
15 2.839350e-02 1.641038e-15
1000 2.612899e-04 2.786335e-01
100 3.353220e-03 2.062883e-01
65 5.704830e-03 1.721401e-01
50 7.011279e-03 1.791717e-01
40 9.188695e-03 1.617272e-01
30 1.289030e-02 1.086546e-01
26 1.515481e-02 7.932087e-02
23 1.815965e-02 3.139581e-02
20 2.085964e-02 8.949795e-14
18 2.325480e-02 1.262312e-15
17 2.473544e-02 -3.169207e-15
16 2.652092e-02 2.265314e-15
15 2.839350e-02 1.605849e-15
1000 2.612899e-04 2.656867e-01
100 3.353220e-03 2.014137e-01
65 5.704830e-03 1.729017e-01
50 7.011279e-03 1.718761e-01
40 9.188695e-03 1.489531e-01
30 1.289030e-02 1.099348e-01
26 1.515481e-02 8.253923e-02
23 1.815965e-02 2.792706e-02
20 2.085964e-02 8.891763e-14
18 2.325480e-02 1.347533e-15
17 2.473544e-02 -3.009208e-15
16 2.652092e-02 2.283401e-15
15 2.839350e-02 1.640704e-15
1000 2.612899e-04 2.766527e-01
100 3.353220e-03 2.205789e-01
65 5.704830e-03 1.855974e-01
50 7.011279e-03 1.594598e-01
40 9.188695e-03 1.613895e-01
30 1.289030e-02 1.161044e-01
26 1.515481e-02 8.505527e-02
23 1.815965e-02 3.320829e-02
20 2.085964e-02 9.201348e-14
18 2.325480e-02 1.194727e-15
17 2.473544e-02 -3.271986e-15
16 2.652092e-02 2.379090e-15
15 2.839350e-02 1.605025e-15
1000 2.612899e-04 2.540437e-01
100 3.353220e-03 2.365722e-01
65 5.704830e-03 1.856123e-01
50 7.011279e-03 1.767845e-01
40 9.188695e-03 1.472838e-01
30 1.289030e-02 1.106475e-01
26 1.515481e-02 7.574183e-02
23 1.815965e-02 3.339694e-02
20 2.085964e-02 8.763124e-14
18 2.325480e-02 1.409914e-15
17 2.473544e-02 -2.930807e-15
16 2.652092e-02 2.360992e-15
15 2.839350e-02 1.606169e-15
1000 2.612899e-04 2.532128e-01
100 3.353220e-03 2.414802e-01
65 5.704830e-03 1.965957e-01
50 7.011279e-03 1.610608e-01
40 9.188695e-03 1.678513e-01
30 1.289030e-02 1.141677e-01
26 1.515481e-02 8.415641e-02
23 1.815965e-02 2.938435e-02
20 2.085964e-02 8.877764e-14
18 2.325480e-02 1.336781e-15
17 2.473544e-02 -3.059964e-15
16 2.652092e-02 2.315439e-15
15 2.839350e-02 1.622962e-15
1000 2.612899e-04 2.723078e-01
100 3.353220e-03 2.278887e-01
65 5.704830e-03 1.944171e-01
