# k_step gamma S_color
1000 2.000000e-04 1.930000e-01
100 3.300000e-03 1.280000e-01
65 6.400000e-03 1.538000e-01
50 7.900000e-03 1.400000e-01
40 9.100000e-03 2.040000e-02
30 1.550000e-02 3.470000e-02
26 1.350000e-02 6.460000e-02
23 1.840000e-02 7.700000e-03
20 2.040000e-02 4.400000e-03
18 2.700000e-02 4.400000e-03
17 2.680000e-02 3.600000e-03
16 2.990000e-02 6.700000e-03
15 3.060000e-02 1.270000e-02
1000 5.000000e-04 1.723000e-01
100 3.300000e-03 1.151000e-01
65 5.900000e-03 1.488000e-01
50 8.800000e-03 1.455000e-01
40 1.020000e-02 1.108000e-01
30 1.370000e-02 6.750000e-02
26 1.840000e-02 6.200000e-03
23 1.900000e-02 6.800000e-03
20 2.240000e-02 1.400000e-03
18 2.610000e-02 1.500000e-02
17 2.720000e-02 1.600000e-03
16 2.840000e-02 1.100000e-02
15 3.110000e-02 6.100000e-03
1000 1.000000e-04 1.938000e-01
100 3.700000e-03 7.630000e-02
65 4.800000e-03 1.424000e-01
50 9.000000e-03 6.550000e-02
40 1.090000e-02 5.670000e-02
30 1.470000e-02 4.900000e-03
26 1.610000e-02 2.440000e-02
23 1.810000e-02 9.200000e-03
20 1.900000e-02 2.960000e-02
18 2.540000e-02 1.190000e-02
17 2.630000e-02 5.300000e-03
16 3.020000e-02 1.600000e-03
15 3.060000e-02 6.700000e-03
1000 5.000000e-04 1.769000e-01
100 3.900000e-03 1.283000e-01
65 6.400000e-03 6.770000e-02
50 7.200000e-03 2.430000e-02
40 1.060000e-02 1.214000e-01
30 1.410000e-02 1.200000e-03
26 1.610000e-02 5.200000e-03
23 1.850000e-02 2.630000e-02
20 2.330000e-02 1.130000e-02
18 2.920000e-02 1.480000e-02
17 2.670000e-02 3.900000e-02
16 2.880000e-02 5.700000e-03
15 3.100000e-02 2.500000e-03
1000 3.000000e-04 1.675000e-01
100 4.000000e-03 4.910000e-02
65 5.800000e-03 1.432000e-01
50 7.400000e-03 1.299000e-01
40 8.800000e-03 3.490000e-02
30 1.370000e-02 5.700000e-03
26 1.800000e-02 3.000000e-04
23 1.920000e-02 8.160000e-02
20 2.230000e-02 3.700000e-03
18 2.720000e-02 1.060000e-02
17 2.910000e-02 9.100000e-03
16 2.430000e-02 1.900000e-02
15 2.770000e-02 5.000000e-03
1000 4.000000e-04 1.260000e-01
100 2.900000e-03 1.859000e-01
65 5.900000e-03 1.289000e-01
50 7.600000e-03 9.040000e-02
40 8.700000e-03 6.290000e-02
30 1.340000e-02 1.008000e-01
26 1.860000e-02 2.620000e-02
23 1.820000e-02 4.300000e-02
20 2.300000e-02 2.100000e-03
18 2.450000e-02 5.900000e-03
17 2.750000e-02 5.300000e-03
16 2.610000e-02 1.230000e-02
15 2.850000e-02 2.000000e-03
1000 1.000000e-04 2.065000e-01
100 4.500000e-03 1.454000e-01
65 5.200000e-03 1.507000e-01
50 7.500000e-03 1.354000e-01
40 1.120000e-02 1.214000e-01
30 1.560000e-02 1.690000e-02
26 1.660000e-02 6.900000e-03
23 1.830000e-02 8.120000e-02
20 1.990000e-02 8.700000e-03
18 2.750000e-02 4.000000e-03
17 2.750000e-02 7.560000e-02
16 2.880000e-02 5.400000e-03
15 2.830000e-02 3.300000e-03
1000 4.000000e-04 9.380000e-02
100 4.500000e-03 1.145000e-01
65 6.900000e-03 1.980000e-02
50 7.300000e-03 8.200000e-02
40 1.090000e-02 6.600000e-03
30 1.530000e-02 3.500000e-03
26 1.450000e-02 5.500000e-02
23 1.810000e-02 2.350000e-02
20 2.160000e-02 3.870000e-02
18 2.450000e-02 5.800000e-03
17 2.540000e-02 6.800000e-03
16 2.760000e-02 4.500000e-03
15 3.140000e-02 6.900000e-03
1000 3.000000e-04 1.865000e-01
100 3.500000e-03 1.643000e-01
65 6.100000e-03 1.174000e-01
50 7.000000e-03 1.379000e-01
40 9.300000e-03 2.310000e-02
30 1.440000e-02 1.003000e-01
26 1.350000e-02 5.620000e-02
23 1.850000e-02 2.800000e-03
20 2.290000e-02 3.300000e-03
18 2.520000e-02 1.900000e-03
17 2.730000e-02 3.580000e-02
16 2.640000e-02 1.660000e-02
15 2.790000e-02 3.600000e-03
1000 2.000000e-04 2.008000e-01
100 3.100000e-03 1.641000e-01
65 6.800000e-03 1.472000e-01
50 6.200000e-03 1.500000e-01
