# k_step gamma S_color
15 1.400354e-03 8.781535e-01
12 2.009196e-02 8.744598e-01
11 4.262092e-02 8.746865e-01
10 8.392402e-02 8.670667e-01
9 1.527625e-01 8.076096e-01
8 2.560202e-01 5.957097e-01
7 3.936972e-01 -1.277128e-14
6 5.543204e-01 0.000000e+00
15 1.400354e-03 8.642658e-01
12 2.009196e-02 8.828142e-01
11 4.262092e-02 8.853972e-01
10 8.392402e-02 8.747242e-01
9 1.527625e-01 8.016446e-01
8 2.560202e-01 5.937215e-01
7 3.936972e-01 -1.285527e-14
6 5.543204e-01 0.000000e+00
15 1.400354e-03 8.685743e-01
12 2.009196e-02 8.740470e-01
11 4.262092e-02 8.737853e-01
10 8.392402e-02 8.701261e-01
9 1.527625e-01 7.829548e-01
8 2.560202e-01 5.826959e-01
7 3.936972e-01 -1.326946e-14
6 5.543204e-01 0.000000e+00
15 1.400354e-03 8.799839e-01
12 2.009196e-02 8.839322e-01
11 4.262092e-02 8.826331e-01
10 8.392402e-02 8.631435e-01
9 1.527625e-01 7.967450e-01
8 2.560202e-01 6.072192e-01
7 3.936972e-01 -1.371532e-14
6 5.543204e-01 0.000000e+00
15 1.400354e-03 8.872428e-01
12 2.009196e-02 8.757735e-01
11 4.262092e-02 8.834171e-01
10 8.392402e-02 8.499213e-01
9 1.527625e-01 8.041617e-01
8 2.560202e-01 5.846387e-01
7 3.936972e-01 -1.359532e-14
6 5.543204e-01 0.000000e+00
15 1.400354e-03 8.853510e-01
12 2.009196e-02 8.854186e-01
11 4.262092e-02 8.806953e-01
10 8.392402e-02 8.545599e-01
9 1.527625e-01 8.079245e-01
8 2.560202e-01 6.003430e-01
7 3.936972e-01 -1.299970e-14
6 5.543204e-01 0.000000e+00
15 1.400354e-03 8.781158e-01
12 2.009196e-02 8.766548e-01
11 4.262092e-02 8.768652e-01
10 8.392402e-02 8.581602e-01
9 1.527625e-01 8.019836e-01
8 2.560202e-01 6.008195e-01
7 3.936972e-01 -1.251928e-14
6 5.543204e-01 0.000000e+00
15 1.400354e-03 8.814005e-01
12 2.009196e-02 8.603737e-01
11 4.262092e-02 8.728622e-01
10 8.392402e-02 8.594088e-01
9 1.527625e-01 7.981759e-01
8 2.560202e-01 6.120599e-01
7 3.936972e-01 -1.263946e-14
6 5.543204e-01 0.000000e+00
15 1.400354e-03 8.798603e-01
12 2.009196e-02 8.879268e-01
11 4.262092e-02 8.917050e-01
10 8.392402e-02 8.762806e-01
9 1.527625e-01 8.086221e-01
8 2.560202e-01 6.071392e-01
7 3.936972e-01 -1.307228e-14
6 5.543204e-01 0.000000e+00
15 1.400354e-03 8.789362e-01
12 2.009196e-02 8.796086e-01
11 4.262092e-02 8.778604e-01
10 8.392402e-02 8.517733e-01
9 1.527625e-01 8.043999e-01
8 2.560202e-01 5.862581e-01
7 3.936972e-01 -1.332213e-14
6 5.543204e-01 0.000000e+00
15 1.400354e-03 8.899123e-01
12 2.009196e-02 8.764450e-01
11 4.262092e-02 8.757487e-01
10 8.392402e-02 8.499227e-01
9 1.527625e-01 7.946336e-01
8 2.560202e-01 6.083418e-01
7 3.936972e-01 -1.293716e-14
6 5.543204e-01 0.000000e+00
15 1.400354e-03 8.870726e-01
12 2.009196e-02 8.638208e-01
11 4.262092e-02 8.752823e-01
10 8.392402e-02 8.649177e-01
9 1.527625e-01 8.060132e-01
8 2.560202e-01 5.962878e-01
7 3.936972e-01 -1.318052e-14
