# k_step gamma S_color
15 7.000000e-04 8.842000e-01
12 1.950000e-02 8.815000e-01
11 3.930000e-02 8.721000e-01
10 8.040000e-02 8.661000e-01
9 1.577000e-01 8.040000e-01
8 2.586000e-01 6.225000e-01
7 3.911000e-01 6.050000e-02
6 5.585000e-01 4.200000e-03
15 1.700000e-03 8.881000e-01
12 1.860000e-02 8.854000e-01
11 4.180000e-02 8.758000e-01
10 8.340000e-02 8.623000e-01
9 1.569000e-01 8.008000e-01
8 2.539000e-01 6.497000e-01
7 3.823000e-01 3.300000e-02
6 5.527000e-01 5.100000e-03
15 1.100000e-03 8.881000e-01
12 1.780000e-02 8.879000e-01
11 4.190000e-02 8.723000e-01
10 8.650000e-02 8.564000e-01
9 1.545000e-01 8.009000e-01
8 2.550000e-01 5.542000e-01
7 4.021000e-01 1.030000e-02
6 5.626000e-01 3.400000e-03
15 1.400000e-03 8.870000e-01
12 2.040000e-02 8.845000e-01
11 3.880000e-02 8.758000e-01
10 8.560000e-02 8.597000e-01
9 1.486000e-01 7.929000e-01
8 2.491000e-01 6.061000e-01
7 3.938000e-01 2.660000e-02
6 5.519000e-01 3.500000e-03
15 1.400000e-03 8.827000e-01
12 2.020000e-02 8.872000e-01
11 4.020000e-02 8.733000e-01
10 8.620000e-02 8.601000e-01
9 1.549000e-01 8.139000e-01
8 2.479000e-01 5.584000e-01
7 3.888000e-01 2.150000e-02
6 5.570000e-01 4.600000e-03
15 1.200000e-03 8.846000e-01
12 2.270000e-02 8.869000e-01
11 3.870000e-02 8.820000e-01
10 8.730000e-02 8.668000e-01
9 1.517000e-01 8.114000e-01
8 2.592000e-01 5.487000e-01
7 3.930000e-01 1.150000e-02
6 5.590000e-01 3.400000e-03
15 1.000000e-03 8.837000e-01
12 2.070000e-02 8.828000e-01
11 4.300000e-02 8.772000e-01
10 8.070000e-02 8.669000e-01
9 1.525000e-01 7.961000e-01
8 2.508000e-01 5.577000e-01
7 4.015000e-01 2.060000e-02
6 5.488000e-01 3.900000e-03
15 1.100000e-03 8.848000e-01
12 1.960000e-02 8.858000e-01
11 4.260000e-02 8.803000e-01
10 8.440000e-02 8.687000e-01
9 1.549000e-01 8.143000e-01
8 2.573000e-01 5.838000e-01
7 3.975000e-01 1.480000e-02
6 5.565000e-01 4.400000e-03
15 1.300000e-03 8.841000e-01
12 2.140000e-02 8.839000e-01
11 4.500000e-02 8.775000e-01
10 8.330000e-02 8.603000e-01
9 1.515000e-01 8.042000e-01
8 2.592000e-01 5.511000e-01
7 3.924000e-01 1.630000e-02
6 5.493000e-01 3.600000e-03
15 1.900000e-03 8.815000e-01
12 1.800000e-02 8.882000e-01
11 4.640000e-02 8.833000e-01
10 8.530000e-02 8.540000e-01
9 1.509000e-01 7.951000e-01
8 2.524000e-01 6.108000e-01
7 3.924000e-01 2.950000e-02
6 5.560000e-01 5.100000e-03
15 1.100000e-03 8.875000e-01
12 1.990000e-02 8.797000e-01
11 4.250000e-02 8.696000e-01
10 8.550000e-02 8.619000e-01
9 1.580000e-01 7.933000e-01
8 2.500000e-01 5.950000e-01
7 3.965000e-01 1.720000e-02
6 5.581000e-01 5.800000e-03
15 1.300000e-03 8.867000e-01
12 2.040000e-02 8.838000e-01
11 4.260000e-02 8.745000e-01
10 8.790000e-02 8.580000e-01
9 1.533000e-01 8.021000e-01
8 2.559000e-01 5.658000e-01
7 4.003000e-01 2.410000e-02
6 5.603000e-01 2.800000e-03
15 1.000000e-03 8.797000e-01
12 1.870000e-02 8.747000e-01
11 4.200000e-02 8.775000e-01
10 8.670000e-02 8.540000e-01
9 1.593000e-01 8.070000e-01
8 2.588000e-01 5.884000e-01
7 3.968000e-01 4.950000e-02
6 5.530000e-01 3.200000e-03
15 1.600000e-03 8.872000e-01
12 1.910000e-02 8.818000e-01
11 4.280000e-02 8.823000e-01
10 8.220000e-02 8.572000e-01
9 1.533000e-01 7.898000e-01
8 2.526000e-01 5.995000e-01
7 3.937000e-01 3.220000e-02
6 5.556000e-01 3.300000e-03
15 2.300000e-03 8.863000e-01
12 2.140000e-02 8.837000e-01
11 4.420000e-02 8.818000e-01
10 8.530000e-02 8.566000e-01
9 1.497000e-01 8.177000e-01
8 2.553000e-01 5.934000e-01
7 3.937000e-01 3.070000e-02
6 5.557000e-01 4.500000e-03
15 1.200000e-03 8.904000e-01
12 2.060000e-02 8.870000e-01
11 4.100000e-02 8.754000e-01
10 7.850000e-02 8.547000e-01
9 1.550000e-01 8.079000e-01
8 2.513000e-01 6.468000e-01
7 3.859000e-01 2.380000e-02
6 5.577000e-01 3.900000e-03
15 1.200000e-03 8.816000e-01
12 2.200000e-02 8.869000e-01
11 4.470000e-02 8.782000e-01
10 8.460000e-02 8.646000e-01
9 1.493000e-01 8.027000e-01
8 2.640000e-01 5.279000e-01
7 3.903000e-01 1.540000e-02
6 5.525000e-01 5.500000e-03
15 1.700000e-03 8.837000e-01
12 2.080000e-02 8.798000e-01
11 4.360000e-02 8.767000e-01
10 8.340000e-02 8.668000e-01
9 1.470000e-01 8.193000e-01
8 2.584000e-01 5.740000e-01
7 3.853000e-01 1.760000e-02
6 5.542000e-01 6.600000e-03
15 2.000000e-03 8.805000e-01
12 2.040000e-02 8.861000e-01
11 4.040000e-02 8.750000e-01
10 8.180000e-02 8.640000e-01
9 1.542000e-01 8.055000e-01
8 2.588000e-01 5.888000e-01
7 4.005000e-01 2.330000e-02
6 5.523000e-01 4.400000e-03
15 1.400000e-03 8.912000e-01
12 2.000000e-02 8.832000e-01
11 4.380000e-02 8.788000e-01
10 8.320000e-02 8.621000e-01
9 1.574000e-01 8.066000e-01
8 2.525000e-01 6.497000e-01
7 3.949000e-01 2.180000e-02
6 5.630000e-01 3.200000e-03
15 2.400000e-03 8.819000e-01
12 1.870000e-02 8.811000e-01
11 4.300000e-02 8.826000e-01
10 8.450000e-02 8.697000e-01
9 1.467000e-01 8.089000e-01
8 2.596000e-01 6.069000e-01
7 4.007000e-01 2.290000e-02
6 5.463000e-01 3.700000e-03
15 1.000000e-03 8.839000e-01
12 1.860000e-02 8.815000e-01
11 4.070000e-02 8.800000e-01
10 8.690000e-02 8.545000e-01
9 1.530000e-01 7.976000e-01
8 2.621000e-01 5.809000e-01
7 3.910000e-01 2.830000e-02
6 5.627000e-01 5.100000e-03
15 2.300000e-03 8.884000e-01
12 1.960000e-02 8.834000e-01
11 3.980000e-02 8.747000e-01
10 8.180000e-02 8.578000e-01
9 1.521000e-01 7.974000e-01
8 2.610000e-01 5.882000e-01
7 3.963000e-01 3.030000e-02
6 5.589000e-01 3.400000e-03
15 6.000000e-04 8.889000e-01
12 1.850000e-02 8.844000e-01
11 4.410000e-02 8.764000e-01
10 8.830000e-02 8.558000e-01
9 1.545000e-01 8.015000e-01
8 2.574000e-01 5.927000e-01
7 3.911000e-01 2.470000e-02
6 5.476000e-01 3.800000e-03
15 1.300000e-03 8.853000e-01
12 2.060000e-02 8.844000e-01
11 4.260000e-02 8.749000e-01
