# k_av S_color
1.000000e+00 0.000000e+00
1.250000e+00 6.242254e-02
1.500000e+00 2.236733e-01
1.750000e+00 3.276959e-01
2.000000e+00 4.649255e-01
2.250000e+00 5.879327e-01
2.500000e+00 6.347245e-01
2.750000e+00 7.035602e-01
3.000000e+00 7.643830e-01
3.250000e+00 8.138949e-01
3.500000e+00 8.505724e-01
3.750000e+00 8.742632e-01
4.000000e+00 9.051949e-01
4.250000e+00 9.223353e-01
4.500000e+00 9.331413e-01
4.750000e+00 9.472262e-01
5.000000e+00 9.569822e-01
5.250000e+00 9.649889e-01
5.500000e+00 9.734026e-01
5.750000e+00 9.774427e-01
6.000000e+00 9.817417e-01
6.250000e+00 9.856174e-01
6.500000e+00 9.880823e-01
6.750000e+00 9.909211e-01
7.000000e+00 9.927018e-01
7.250000e+00 9.937657e-01
7.500000e+00 9.951419e-01
7.750000e+00 9.959713e-01
8.000000e+00 9.969802e-01
8.250000e+00 9.975830e-01
8.500000e+00 9.979933e-01
8.750000e+00 9.983942e-01
9.000000e+00 9.986658e-01
9.250000e+00 9.989737e-01
9.500000e+00 9.991802e-01
9.750000e+00 9.993179e-01
1.000000e+01 9.995006e-01
1.000000e+00 0.000000e+00
1.250000e+00 5.994944e-02
1.500000e+00 2.398135e-01
1.750000e+00 3.678825e-01
2.000000e+00 4.679645e-01
2.250000e+00 5.530732e-01
2.500000e+00 6.505236e-01
2.750000e+00 7.298299e-01
3.000000e+00 7.795471e-01
3.250000e+00 8.096126e-01
3.500000e+00 8.487351e-01
3.750000e+00 8.763108e-01
4.000000e+00 9.017805e-01
4.250000e+00 9.197692e-01
4.500000e+00 9.320224e-01
4.750000e+00 9.452796e-01
5.000000e+00 9.569779e-01
5.250000e+00 9.664347e-01
5.500000e+00 9.727870e-01
5.750000e+00 9.784942e-01
6.000000e+00 9.821873e-01
6.250000e+00 9.859940e-01
6.500000e+00 9.874471e-01
6.750000e+00 9.909212e-01
7.000000e+00 9.927017e-01
7.250000e+00 9.935790e-01
7.500000e+00 9.952974e-01
7.750000e+00 9.962300e-01
8.000000e+00 9.968729e-01
8.250000e+00 9.974940e-01
8.500000e+00 9.979198e-01
8.750000e+00 9.983335e-01
9.000000e+00 9.986658e-01
9.250000e+00 9.988914e-01
9.500000e+00 9.992140e-01
9.750000e+00 9.993733e-01
1.000000e+01 9.994779e-01
1.000000e+00 0.000000e+00
1.250000e+00 6.279067e-02
# k_av S_color
1.000000e+00 0.000000e+00
1.050000e+00 8.412229e-05
1.100000e+00 5.129614e-03
1.150000e+00 2.391570e-02
1.200000e+00 4.327644e-02
1.250000e+00 5.629930e-02
1.300000e+00 9.765749e-02
1.350000e+00 1.290746e-01
1.400000e+00 1.465642e-01
1.450000e+00 2.112522e-01
1.500000e+00 1.909358e-01
1.550000e+00 2.226377e-01
1.600000e+00 2.793313e-01
1.650000e+00 3.260353e-01
1.700000e+00 3.225417e-01
1.750000e+00 3.520610e-01
1.800000e+00 3.679050e-01
1.850000e+00 3.834566e-01
1.900000e+00 4.160027e-01
1.950000e+00 4.520468e-01
2.000000e+00 4.558613e-01
1.000000e+00 0.000000e+00
1.050000e+00 3.220149e-05
