# k_av S_color
1.333333e+00 -3.090930e-17
1.388889e+00 -2.034183e-14
1.444444e+00 3.306934e-03
1.500000e+00 1.351393e-02
1.555556e+00 2.915664e-02
1.611111e+00 4.694480e-02
1.666667e+00 7.358225e-02
1.722222e+00 1.054464e-01
# k_av S_color
1.333333e+00 -2.867105e-17
1.388889e+00 -2.153976e-14
1.444444e+00 3.284022e-03
1.500000e+00 1.276613e-02
1.555556e+00 3.107847e-02
1.611111e+00 4.890281e-02
1.666667e+00 6.804528e-02
1.722222e+00 9.805490e-02
1.777778e+00 1.341573e-01
1.833333e+00 1.503054e-01
1.333333e+00 -3.151459e-17
1.388889e+00 -1.993047e-14
1.444444e+00 3.212599e-03
1.500000e+00 1.296645e-02
1.555556e+00 2.939348e-02
1.611111e+00 5.324115e-02
1.666667e+00 8.099728e-02
1.722222e+00 1.039724e-01
1.777778e+00 1.343206e-01
1.833333e+00 1.543137e-01
1.333333e+00 -3.675368e-17
1.388889e+00 -2.115409e-14
1.444444e+00 3.354700e-03
1.500000e+00 1.261689e-02
1.555556e+00 2.709153e-02
1.611111e+00 5.272791e-02
1.666667e+00 7.667242e-02
1.722222e+00 9.661541e-02
1.777778e+00 1.228609e-01
1.833333e+00 1.599113e-01
1.333333e+00 -3.450043e-17
1.388889e+00 -1.850837e-14
1.444444e+00 3.037915e-03
1.500000e+00 1.360968e-02
1.555556e+00 2.606244e-02
1.611111e+00 4.249669e-02
1.666667e+00 7.136056e-02
1.722222e+00 1.054603e-01
1.777778e+00 1.300860e-01
1.833333e+00 1.589011e-01
1.333333e+00 -3.655799e-17
1.388889e+00 -2.046307e-14
1.444444e+00 3.230296e-03
1.500000e+00 1.344761e-02
1.555556e+00 2.766522e-02
1.611111e+00 4.842097e-02
1.666667e+00 8.144692e-02
1.722222e+00 9.411551e-02
1.777778e+00 1.209531e-01
1.833333e+00 1.459433e-01
1.333333e+00 -3.126545e-17
1.388889e+00 -2.336617e-14
1.444444e+00 3.307070e-03
1.500000e+00 1.353712e-02
1.555556e+00 2.880397e-02
1.611111e+00 4.780069e-02
1.666667e+00 7.373652e-02
1.722222e+00 9.314524e-02
1.777778e+00 1.277723e-01
1.833333e+00 1.585634e-01
1.333333e+00 -3.018391e-17
1.388889e+00 -2.080681e-14
1.444444e+00 3.577439e-03
1.500000e+00 1.316775e-02
1.555556e+00 3.052787e-02
1.611111e+00 4.501872e-02
1.666667e+00 6.354938e-02
1.722222e+00 1.024062e-01
1.777778e+00 1.239348e-01
1.833333e+00 1.499707e-01
1.333333e+00 -3.666296e-17
1.388889e+00 -1.817811e-14
1.444444e+00 3.198348e-03
1.500000e+00 1.311890e-02
1.555556e+00 2.854071e-02
1.611111e+00 4.934220e-02
1.666667e+00 7.275655e-02
1.722222e+00 9.753779e-02
1.777778e+00 1.322159e-01
1.833333e+00 1.488938e-01
1.333333e+00 -3.167610e-17
1.388889e+00 -2.082391e-14
1.444444e+00 2.998160e-03
1.500000e+00 1.359584e-02
1.555556e+00 3.086096e-02
1.611111e+00 4.877857e-02
1.666667e+00 8.007668e-02
1.722222e+00 9.888032e-02
1.777778e+00 1.255266e-01
1.833333e+00 1.501172e-01
1.333333e+00 -3.040848e-17
1.388889e+00 -1.999253e-14
1.444444e+00 3.159761e-03
1.500000e+00 1.272573e-02
1.555556e+00 3.028289e-02
1.611111e+00 5.040587e-02
1.666667e+00 6.908236e-02
1.722222e+00 9.802099e-02
1.777778e+00 1.263580e-01
1.833333e+00 1.467983e-01
1.333333e+00 -3.470591e-17
1.388889e+00 -1.685305e-14
1.444444e+00 3.282186e-03
1.500000e+00 1.356708e-02
1.555556e+00 2.965747e-02
1.611111e+00 5.201067e-02
1.666667e+00 7.450683e-02
1.722222e+00 1.021329e-01
1.777778e+00 1.247314e-01
1.833333e+00 1.563485e-01
1.333333e+00 -3.211853e-17
1.388889e+00 -2.144022e-14
1.444444e+00 2.963423e-03
1.500000e+00 1.327610e-02
1.555556e+00 2.676316e-02
1.611111e+00 5.069313e-02
1.666667e+00 7.364666e-02
1.722222e+00 1.036031e-01
1.777778e+00 1.283321e-01
1.833333e+00 1.523116e-01
1.333333e+00 -2.927546e-17
1.388889e+00 -1.961247e-14
1.444444e+00 3.101876e-03
1.500000e+00 1.242564e-02
1.555556e+00 2.712262e-02
1.611111e+00 4.821357e-02
1.666667e+00 8.014035e-02
1.722222e+00 9.650245e-02
1.777778e+00 1.333424e-01
1.833333e+00 1.531362e-01
1.333333e+00 -3.451130e-17
1.388889e+00 -1.787169e-14
1.444444e+00 3.356543e-03
1.500000e+00 1.274472e-02
1.555556e+00 2.893259e-02
1.611111e+00 4.805411e-02
1.666667e+00 6.992897e-02
1.722222e+00 9.927280e-02
1.777778e+00 1.238906e-01
1.833333e+00 1.510278e-01
1.333333e+00 -2.960877e-17
1.388889e+00 -2.100691e-14
1.444444e+00 3.081387e-03
1.500000e+00 1.415080e-02
1.555556e+00 2.826820e-02
1.611111e+00 4.807881e-02
1.666667e+00 7.069336e-02
1.722222e+00 9.527049e-02
1.777778e+00 1.246736e-01
1.833333e+00 1.583211e-01
1.333333e+00 -3.240672e-17
1.388889e+00 -1.883436e-14
1.444444e+00 3.300850e-03
1.500000e+00 1.311863e-02
1.555556e+00 2.735641e-02
1.611111e+00 4.961226e-02
1.666667e+00 7.366352e-02
1.722222e+00 1.086785e-01
1.777778e+00 1.196793e-01
1.833333e+00 1.704345e-01
1.333333e+00 -3.406983e-17
1.388889e+00 -1.623489e-14
1.444444e+00 3.373273e-03
1.500000e+00 1.279609e-02
